gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Rating
male,group C,associate's degree,free/reduced,completed,78,81,82,Very good
male,group B,some high school,standard,completed,65,66,62,Not good
female,group E,some college,standard,completed,63,72,70,Not good
female,group D,some college,free/reduced,none,58,67,62,Not good
female,group D,bachelor's degree,standard,none,65,67,62,Not good
male,group B,some college,standard,none,79,67,67,Good
male,group D,bachelor's degree,standard,completed,68,74,74,Good
female,group D,associate's degree,standard,none,85,91,89,Very good
male,group B,high school,standard,completed,60,44,47,Acceptance
male,group C,some college,standard,completed,98,86,90,Excellent
female,group C,some college,standard,none,58,67,72,Not good
female,group D,master's degree,standard,none,87,100,100,Excellent
male,group E,associate's degree,standard,completed,66,63,64,Not good
female,group B,associate's degree,free/reduced,none,52,76,70,Not good
female,group B,some high school,standard,none,70,64,72,Not good
female,group D,associate's degree,free/reduced,completed,77,89,98,Very good
male,group C,high school,standard,none,62,55,49,Acceptance
male,group A,associate's degree,standard,none,54,53,47,Acceptance
female,group D,some college,standard,none,51,58,54,Acceptance
female,group E,bachelor's degree,standard,completed,99,100,100,Excellent
male,group C,high school,standard,none,84,77,74,Good
female,group B,bachelor's degree,free/reduced,none,75,85,,
female,group D,bachelor's degree,standard,none,78,82,79,Very good
female,group D,some high school,standard,none,51,63,61,Acceptance
female,group C,some college,standard,none,55,69,65,Not good
female,group C,bachelor's degree,standard,completed,79,92,89,Very good
male,group B,associate's degree,standard,completed,91,89,92,Excellent
female,group C,some college,standard,completed,88,93,93,Excellent
male,group D,high school,free/reduced,none,63,57,50,Acceptance
male,group E,some college,standard,none,83,80,73,Good
female,group B,high school,standard,none,87,95,86,Excellent
male,group B,some high school,standard,none,72,68,67,Not good
male,group D,some college,standard,completed,65,77,74,Good
male,group D,master's degree,standard,none,82,82,74,Very good
female,group A,bachelor's degree,standard,none,51,49,51,Acceptance
male,group D,master's degree,standard,none,89,84,82,Very good
male,group C,some high school,free/reduced,completed,53,37,40,Fail
male,group E,some college,free/reduced,completed,87,74,70,Good
female,group C,some college,standard,completed,75,81,84,Very good
male,group D,bachelor's degree,free/reduced,completed,74,79,75,Good
male,group C,bachelor's degree,standard,none,58,55,48,Acceptance
male,group B,some high school,standard,completed,51,54,41,Fail
male,group E,high school,standard,none,70,55,56,Not good
female,group C,associate's degree,standard,none,59,66,67,Not good
male,group D,some college,standard,completed,71,61,69,Not good
female,group D,some high school,standard,none,76,72,71,Good
female,group C,some college,free/reduced,none,59,62,64,Not good
female,group E,some college,free/reduced,,42,55,54,Acceptance
male,group A,high school,standard,none,57,43,47,Fail
male,group D,some college,standard,none,88,73,78,Very good
female,group C,some college,free/reduced,none,22,39,33,Fail
male,group B,some high school,standard,none,88,84,75,Very good
male,group C,associate's degree,free/reduced,none,73,68,66,Not good
female,group D,bachelor's degree,standard,completed,68,75,81,Good
male,group E,associate's degree,free/reduced,completed,100,100,93,Excellent
male,group A,some high school,standard,completed,62,67,69,Not good
male,group A,bachelor's degree,standard,none,77,67,68,Good
female,group B,associate's degree,standard,completed,59,70,66,Not good
male,group D,bachelor's degree,standard,none,54,49,47,Acceptance
male,group D,some high school,standard,none,62,67,61,Not good
female,group C,some college,standard,completed,70,89,88,Very good
female,group E,high school,free/reduced,completed,66,74,78,Good
male,group B,some college,free/reduced,none,60,60,60,Not good
female,,associate's degree,standard,completed,61,86,87,Good
male,group D,associate's degree,free/reduced,none,66,62,64,Not good
male,group B,associate's degree,free/reduced,completed,82,78,74,Good
female,group E,some college,free/reduced,completed,75,88,85,Very good
male,group B,master's degree,free/reduced,none,49,53,52,Acceptance
male,group C,high school,standard,none,52,53,49,Acceptance
female,group E,master's degree,standard,none,81,92,91,Very good
female,group C,bachelor's degree,standard,completed,96,100,100,Excellent
male,group C,high school,free/reduced,completed,53,51,51,Acceptance
female,group B,master's degree,free/reduced,completed,58,76,78,Good
female,group B,high school,standard,completed,68,83,78,Good
female,group C,some college,free/reduced,completed,67,75,70,Good
male,group A,high school,standard,completed,72,73,74,Good
male,group E,some high school,standard,none,94,88,78,Very good
female,group D,some college,standard,none,79,86,70,Good
female,group C,associate's degree,standard,none,63,67,70,Not good
female,group C,bachelor's degree,free/reduced,completed,43,51,54,Acceptance
female,group C,master's degree,standard,completed,81,91,87,Very good
female,group B,high school,free/reduced,completed,46,54,58,Acceptance
female,group C,associate's degree,standard,completed,71,77,77,Good
female,group B,master's degree,free/reduced,completed,52,70,62,Not good
female,group D,some high school,standard,completed,97,100,100,Excellent
male,group C,master's degree,free/reduced,completed,62,68,75,Not good
female,group C,some college,free/reduced,none,46,64,66,Acceptance
female,group E,high school,standard,none,50,50,47,Fail
female,group D,associate's degree,standard,none,65,69,70,Not good
male,group C,some high school,free/reduced,completed,45,52,49,Fail
male,group C,associate's degree,free/reduced,completed,65,67,65,Not good
male,group E,high school,standard,none,80,76,65,Good
male,group D,some high school,standard,completed,62,66,68,Not good
male,group B,some high school,free/reduced,none,48,52,45,Fail
female,group C,bachelor's degree,standard,none,77,88,87,Very good
female,group E,associate's degree,standard,none,66,65,69,Not good
male,group D,some college,standard,completed,76,83,50,Good
female,group B,some high school,standard,none,62,64,66,Not good
male,group D,some college,standard,completed,77,62,62,Not good
female,group C,master's degree,standard,completed,69,84,85,Very good
male,group D,associate's degree,standard,none,61,55,52,Acceptance
male,group C,some high school,free/reduced,completed,59,69,65,Not good
male,group E,high school,free/reduced,none,55,56,51,Acceptance
female,group B,some college,free/reduced,none,45,53,55,Acceptance
female,group B,bachelor's degree,free/reduced,none,78,79,76,Good
female,group C,associate's degree,standard,completed,67,84,86,Good
female,group D,some college,free/reduced,none,65,81,77,Good
male,group C,associate's degree,standard,none,69,77,69,Good
female,group B,associate's degree,standard,none,57,69,68,Not good
male,group C,some college,standard,none,59,41,42,Fail
male,group D,some high school,standard,completed,74,71,78,Good
male,group E,bachelor's degree,standard,none,82,62,62,Not good
male,group E,high school,standard,completed,81,80,76,Good
female,group B,some college,free/reduced,none,74,81,76,Good
female,group B,some college,free/reduced,none,58,61,66,Not good
male,group D,some high school,free/reduced,completed,80,79,79,Very good
male,group C,some college,free/reduced,none,35,28,27,Fail
female,group C,high school,free/reduced,none,42,62,60,Acceptance
male,group C,associate's degree,free/reduced,completed,60,51,56,Acceptance
male,group E,high school,standard,completed,87,91,81,Very good
male,group B,some high school,standard,completed,84,83,75,Very good
female,group E,associate's degree,free/reduced,completed,83,86,88,Very good
female,group C,high school,free/reduced,none,34,42,39,Fail
male,group B,high school,free/reduced,none,66,77,70,Good
male,group B,some high school,standard,completed,61,56,56,Acceptance
female,group D,high school,standard,completed,56,68,74,Not good
male,group B,associate's degree,standard,none,87,85,73,Very good
female,group C,some high school,free/reduced,none,55,65,62,Not good
male,group D,some high school,standard,none,86,80,75,Very good
female,group B,associate's degree,standard,completed,52,66,73,Not good
female,group E,master's degree,free/reduced,none,45,56,54,Acceptance
female,group C,some college,standard,none,72,72,71,Good
male,group D,high school,standard,none,57,50,54,Acceptance
male,group A,some high school,free/reduced,none,68,72,64,Not good
female,group C,some college,standard,completed,88,95,94,Excellent
male,group D,some college,standard,none,76,64,66,Not good
male,group C,associate's degree,standard,none,46,43,42,Fail
female,group B,bachelor's degree,standard,none,67,86,83,Good
male,group E,some high school,standard,none,92,87,78,Very good
male,group C,bachelor's degree,standard,completed,83,82,84,Very good
male,group D,associate's degree,standard,none,80,75,77,Good
male,group D,bachelor's degree,free/reduced,none,63,66,67,Not good
female,group D,some high school,standard,completed,64,60,74,Not good
male,group B,some college,standard,none,54,52,51,Acceptance
male,group C,associate's degree,standard,none,84,80,80,Very good
male,group D,high school,free/reduced,completed,73,68,66,Not good
female,group E,bachelor's degree,standard,none,80,83,83,Very good
female,group D,high school,standard,none,56,52,55,Acceptance
male,group E,some college,standard,none,59,51,43,Acceptance
male,group D,some high school,standard,none,75,74,69,Good
male,group C,associate's degree,standard,none,85,76,71,Good
male,group E,associate's degree,standard,none,89,76,74,Very good
female,group B,high school,standard,completed,58,70,68,Not good
female,group B,high school,standard,none,65,64,62,Not good
male,group C,high school,standard,none,68,60,53,Not good
male,group A,some high school,standard,completed,47,49,49,Fail
female,group D,some college,free/reduced,none,71,83,83,Good
female,group B,some high school,standard,completed,60,70,70,Not good
male,group D,master's degree,standard,none,80,80,72,Good
male,group D,high school,standard,none,54,52,52,Acceptance
female,group E,some college,standard,none,62,73,70,Not good
female,group C,associate's degree,free/reduced,none,64,73,68,Not good
male,group C,associate's degree,standard,completed,78,77,77,Good
female,group B,some college,standard,none,70,75,78,Good
female,group C,master's degree,free/reduced,completed,65,81,81,Good
female,group C,some high school,free/reduced,completed,64,79,77,Good
male,group C,some college,standard,completed,79,79,78,Good
female,group C,some high school,free/reduced,none,44,50,51,Fail
female,group E,high school,standard,none,99,93,90,Excellent
male,group D,high school,standard,none,76,73,68,Good
male,group D,some high school,free/reduced,none,59,42,41,Fail
female,group C,bachelor's degree,standard,none,63,75,81,Good
female,group D,high school,standard,none,69,72,77,Good
female,group D,associate's degree,standard,completed,88,92,95,Excellent
female,group E,some college,free/reduced,none,71,76,70,Good
male,group C,bachelor's degree,standard,none,69,63,61,Not good
male,group C,some college,standard,none,58,49,42,Acceptance
female,group D,associate's degree,free/reduced,none,47,53,58,Acceptance
female,group D,some college,standard,none,65,70,71,Not good
male,group B,some college,standard,completed,88,85,76,Very good
male,group C,bachelor's degree,standard,none,83,78,73,Good
female,group C,some high school,standard,completed,85,92,93,Excellent
female,group E,high school,standard,completed,59,63,75,Not good
female,group C,some high school,free/reduced,none,65,86,80,Good
male,group B,bachelor's degree,free/reduced,none,73,56,57,Not good
male,group D,,standard,none,53,52,42,Fail
male,group D,high school,standard,none,45,48,46,Fail
female,group D,bachelor's degree,free/reduced,none,73,79,84,Good
female,group D,some college,free/reduced,completed,70,78,78,Good
female,group B,some high school,standard,none,37,46,46,Fail
male,group B,associate's degree,standard,completed,81,82,82,Very good
male,group E,associate's degree,standard,completed,97,82,88,Very good
female,group B,some high school,standard,none,67,89,82,Very good
male,group B,bachelor's degree,free/reduced,none,88,75,76,Very good
male,group E,some high school,standard,completed,77,76,77,Good
male,group C,associate's degree,standard,none,76,70,68,Good
male,group D,some high school,standard,none,86,73,70,Good
male,group C,some high school,standard,completed,63,60,57,Not good
female,group E,bachelor's degree,standard,none,65,73,75,Good
male,group D,high school,free/reduced,completed,78,77,80,Good
male,group B,associate's degree,free/reduced,none,67,62,60,Not good
male,group A,some high school,standard,completed,46,41,43,Fail
male,group E,associate's degree,standard,completed,71,74,68,Good
male,group C,high school,free/reduced,completed,40,46,50,Fail
male,group D,associate's degree,free/reduced,none,90,87,75,Very good
male,group A,some college,free/reduced,completed,81,78,81,Very good
male,group D,some high school,free/reduced,none,56,54,52,Acceptance
female,group C,associate's degree,standard,completed,67,84,81,Good
male,group B,associate's degree,standard,none,80,76,64,Good
female,group C,associate's degree,standard,completed,74,75,83,Good
male,group A,some college,standard,none,69,67,69,Not good
male,group E,some college,standard,completed,99,87,81,Very good
male,group C,some high school,standard,none,51,52,44,Fail
female,group B,associate's degree,free/reduced,none,53,71,67,Not good
female,group D,high school,free/reduced,none,49,57,52,Acceptance
female,group B,associate's degree,standard,none,73,76,80,Good
male,group B,bachelor's degree,standard,none,66,60,57,Not good
male,group D,bachelor's degree,standard,completed,67,61,68,Not good
female,group C,associate's degree,free/reduced,completed,68,67,69,Not good
female,group C,bachelor's degree,standard,completed,59,64,75,Not good
male,group C,high school,standard,none,71,66,65,Not good
female,group D,master's degree,standard,completed,77,82,91,Very good
male,group C,associate's degree,standard,none,83,72,78,Good
male,group B,bachelor's degree,standard,none,63,71,69,Not good
female,group D,associate's degree,free/reduced,none,56,65,63,Not good
female,group C,high school,free/reduced,completed,67,79,84,Good
female,group E,high school,standard,none,75,86,79,Very good
female,group C,some college,standard,none,71,81,80,Good
female,group C,some high school,free/reduced,none,43,53,53,Acceptance
female,group C,high school,free/reduced,none,41,46,43,Fail
female,group C,some college,standard,none,82,90,94,Very good
male,group C,some college,standard,none,61,61,62,Not good
male,group A,some college,free/reduced,none,28,23,19,Fail
male,group C,associate's degree,standard,completed,82,75,77,Good
female,group B,some high school,standard,none,41,55,51,Fail
male,group C,high school,standard,none,71,60,61,Not good
male,group C,associate's degree,standard,none,47,37,35,Fail
male,group E,associate's degree,standard,completed,62,56,53,Acceptance
male,group B,associate's degree,standard,none,90,78,81,Very good
female,group C,bachelor's degree,standard,none,83,93,95,Excellent
female,group B,some college,free/reduced,none,61,68,50,Not good
male,group D,some high school,standard,completed,76,70,69,Good
male,group C,associate's degree,standard,none,49,51,43,Fail
female,group B,some high school,free/reduced,none,24,38,27,Fail
female,group D,some high school,free/reduced,completed,35,55,60,Acceptance
male,group C,high school,free/reduced,none,58,61,52,Acceptance
female,group C,high school,standard,none,61,73,63,Not good
female,group B,high school,standard,completed,69,76,74,Good
male,group D,associate's degree,standard,completed,67,72,67,Not good
male,group D,some college,standard,none,79,73,67,Good
female,group C,high school,standard,none,72,80,75,Good
male,group B,some college,standard,none,62,61,57,Not good
female,group C,bachelor's degree,standard,completed,77,94,95,Very good
male,group D,high school,free/reduced,none,75,74,66,Good
male,group E,associate's degree,standard,none,87,74,76,Good
female,group B,bachelor's degree,standard,none,52,65,69,Not good
male,group E,some college,standard,none,66,57,52,Acceptance
female,group C,some college,standard,completed,,78,80,
female,group C,associate's degree,standard,none,46,58,57,Acceptance
female,group C,some college,standard,none,59,71,70,Not good
female,group B,bachelor's degree,standard,none,61,72,70,Not good
male,group A,associate's degree,standard,none,63,61,61,Not good
female,group C,some college,free/reduced,completed,42,66,69,Acceptance
male,group D,some college,free/reduced,none,59,62,61,Not good
female,group D,some college,standard,none,80,90,89,Very good
female,group B,high school,standard,none,58,62,59,Not good
male,group B,some high school,standard,completed,85,84,78,Very good
female,group C,some college,standard,none,52,58,58,Acceptance
female,group D,some high school,free/reduced,none,27,34,32,Fail
male,group C,some college,standard,none,59,60,58,Acceptance
male,group A,bachelor's degree,free/reduced,completed,49,58,60,Acceptance
male,group C,high school,standard,completed,69,58,53,Not good
male,group C,bachelor's degree,free/reduced,none,61,66,61,Not good
female,group A,some high school,free/reduced,none,44,64,58,Acceptance
female,group D,some high school,standard,none,73,84,85,Very good
male,group E,some college,standard,none,84,77,71,Good
female,group C,some college,free/reduced,completed,45,73,70,Not good
male,group D,some high school,standard,none,74,74,72,Good
female,group D,some college,standard,completed,82,97,96,Excellent
female,group D,bachelor's degree,standard,none,59,70,73,Not good
male,group E,associate's degree,free/reduced,none,46,43,41,Fail
female,group D,some high school,standard,none,80,90,82,Very good
female,group D,master's degree,free/reduced,completed,85,95,100,Excellent
female,group A,some high school,standard,none,71,83,77,Good
male,group A,bachelor's degree,standard,none,66,64,62,Not good
female,group B,associate's degree,standard,none,80,86,83,Very good
male,group C,associate's degree,standard,completed,87,100,95,Excellent
male,group C,master's degree,free/reduced,none,79,81,71,Good
female,group E,some high school,free/reduced,none,38,49,45,Fail
female,group A,some high school,free/reduced,none,38,43,43,Fail
female,group E,some college,standard,none,67,76,75,Good
female,group E,bachelor's degree,standard,none,64,73,70,Not good
female,group C,associate's degree,free/reduced,none,57,78,67,Not good
female,group D,high school,standard,none,62,64,64,Not good
male,group D,master's degree,standard,none,73,70,75,Good
male,group E,some high school,free/reduced,completed,73,67,59,Not good
female,group D,some college,standard,none,77,68,77,Good
male,group E,some college,standard,none,76,67,67,Good
male,group C,associate's degree,standard,completed,57,54,56,Acceptance
female,group C,some high school,standard,completed,65,74,77,Good
male,group A,high school,free/reduced,none,48,45,41,Fail
female,group B,high school,free/reduced,none,50,67,63,Not good
female,group C,associate's degree,standard,none,85,89,95,Excellent
male,group B,some high school,standard,none,74,63,57,Not good
male,group D,some high school,standard,none,60,59,54,Acceptance
female,group C,some high school,standard,completed,59,54,67,Not good
male,group A,some college,standard,none,53,43,43,Fail
female,group A,some college,free/reduced,none,49,65,55,Acceptance
female,group D,high school,standard,completed,88,99,100,Excellent
female,group C,high school,standard,none,54,59,62,Acceptance
female,group C,some high school,standard,none,63,73,68,Not good
male,group B,associate's degree,standard,completed,65,65,63,Not good
female,group B,associate's degree,standard,none,82,80,77,Very good
female,group D,high school,free/reduced,completed,52,57,56,Acceptance
male,group D,associate's degree,standard,completed,87,84,85,Very good
female,group D,master's degree,standard,completed,70,71,74,Good
male,group E,some college,standard,completed,84,83,78,Very good
male,group D,associate's degree,standard,none,71,66,60,Not good
male,group B,some high school,standard,completed,63,67,67,Not good
female,group C,bachelor's degree,free/reduced,completed,51,72,79,Not good
male,group E,high school,standard,none,84,73,69,Good
male,group C,bachelor's degree,standard,completed,71,74,68,Good
male,group C,associate's degree,standard,none,74,73,67,Good
male,group D,some college,standard,none,68,59,62,Not good
male,group E,high school,free/reduced,completed,57,56,54,Acceptance
female,group C,associate's degree,free/reduced,completed,82,93,93,Excellent
female,group D,high school,standard,completed,57,58,64,Not good
female,group D,master's degree,free/reduced,completed,47,58,67,Acceptance
female,group A,some high school,standard,completed,59,85,80,Good
male,group B,some college,free/reduced,none,41,39,34,Fail
female,group C,some college,free/reduced,none,62,67,62,Not good
male,group C,bachelor's degree,standard,none,86,83,86,Very good
male,group C,some high school,free/reduced,none,69,71,65,Not good
male,group A,some high school,free/reduced,none,65,59,53,Acceptance
male,group C,some high school,free/reduced,none,68,63,54,Not good
male,group C,associate's degree,free/reduced,none,64,66,59,Not good
female,group C,high school,standard,none,61,72,70,Not good
male,group C,high school,standard,none,61,56,55,Acceptance
female,group A,some high school,free/reduced,none,47,59,50,Acceptance
male,group C,some high school,standard,none,73,66,66,Not good
male,group C,some college,free/reduced,completed,50,48,53,Acceptance
male,group D,associate's degree,standard,none,75,68,64,Not good
male,group D,associate's degree,free/reduced,none,75,66,73,Good
male,group C,high school,standard,none,70,56,51,Acceptance
male,group D,some high school,standard,completed,89,88,82,Very good
,group C,some college,standard,completed,67,81,79,Good
female,group D,high school,standard,none,78,81,80,Very good
female,group A,some high school,free/reduced,none,59,73,69,Not good
female,group B,associate's degree,standard,none,73,83,76,Good
,group A,some high school,free/reduced,none,79,82,73,Good
female,group C,some high school,standard,completed,67,74,77,Good
male,group D,some college,free/reduced,none,69,66,60,Not good
male,group C,high school,standard,completed,86,81,80,Very good
male,group B,high school,standard,none,47,46,42,Fail
male,group B,associate's degree,standard,none,81,73,72,Good
female,group C,some college,free/reduced,completed,64,85,85,Good
female,group E,some college,standard,none,100,92,97,Excellent
female,group C,associate's degree,free/reduced,none,65,77,74,Good
male,group C,some college,free/reduced,none,65,58,49,Acceptance
female,group C,associate's degree,free/reduced,none,53,61,62,Acceptance
male,group C,bachelor's degree,free/reduced,none,37,56,47,Fail
female,group D,bachelor's degree,standard,none,79,89,89,Very good
male,group D,associate's degree,free/reduced,none,53,54,48,Acceptance
female,group E,bachelor's degree,standard,none,100,100,100,Excellent
male,group B,high school,standard,completed,72,65,68,Not good
male,group C,bachelor's degree,free/reduced,none,53,58,55,Acceptance
,group B,some college,free/reduced,none,54,54,45,Acceptance
female,group E,some college,standard,none,71,70,76,Good
female,group C,some college,free/reduced,none,77,90,91,Very good
male,group A,bachelor's degree,standard,completed,75,58,62,Not good
female,group C,some college,standard,none,84,87,91,Very good
female,group D,associate's degree,free/reduced,none,26,31,38,Fail
male,group A,high school,free/reduced,completed,72,67,65,Not good
female,group A,high school,free/reduced,completed,77,88,85,Very good
male,group C,some college,standard,none,91,74,76,Very good
female,group C,associate's degree,standard,completed,83,85,90,Very good
female,group C,high school,standard,none,63,69,74,Not good
female,group C,associate's degree,standard,completed,68,86,84,Very good
female,group D,some high school,standard,none,59,67,61,Not good
female,group B,associate's degree,standard,completed,90,90,91,Excellent
female,group D,bachelor's degree,standard,completed,71,76,83,Good
male,group E,bachelor's degree,standard,completed,76,62,66,Not good
male,group D,associate's degree,standard,none,80,68,72,Good
female,group D,master's degree,standard,none,55,64,70,Not good
male,group E,associate's degree,standard,none,76,71,67,Good
male,group B,high school,standard,completed,73,71,68,Good
female,group D,,free/reduced,none,52,59,56,Acceptance
male,group C,some college,free/reduced,none,68,68,61,Not good
male,group A,high school,standard,none,59,52,46,Acceptance
female,group B,associate's degree,standard,none,49,52,54,Acceptance
male,group C,high school,standard,none,70,74,71,Good
male,group D,some college,free/reduced,none,61,47,56,Acceptance
female,group C,associate's degree,free/reduced,none,60,75,74,Good
male,group B,some high school,standard,completed,64,53,57,Acceptance
male,group A,associate's degree,free/reduced,completed,79,82,82,Very good
female,group A,associate's degree,free/reduced,none,65,85,76,Good
female,group C,associate's degree,standard,none,64,64,70,Not good
female,group C,some college,standard,none,83,83,90,Very good
female,group C,bachelor's degree,standard,none,81,88,90,Very good
female,group B,high school,standard,none,54,64,68,Not good
male,group D,high school,standard,completed,68,64,66,Not good
female,group C,some college,standard,none,54,48,52,Acceptance
female,group D,some college,free/reduced,completed,59,78,76,Good
female,group B,some high school,standard,none,66,69,68,Not good
male,group E,some college,standard,none,76,71,72,Good
female,group D,master's degree,standard,none,74,79,82,Good
female,group B,associate's degree,standard,completed,94,87,92,Excellent
male,group C,some college,free/reduced,none,63,61,54,Not good
female,group E,associate's degree,standard,completed,95,89,92,Excellent
female,group D,master's degree,free/reduced,none,40,59,54,Acceptance
female,group B,some high school,standard,none,82,82,80,Very good
male,group A,high school,standard,none,68,70,66,Not good
male,group B,bachelor's degree,free/reduced,none,55,59,54,Acceptance
male,group C,master's degree,standard,none,79,78,77,Good
female,group C,bachelor's degree,standard,none,86,92,87,Very good
male,group D,some college,standard,none,76,71,73,Good
male,group A,some high school,standard,none,64,50,43,Acceptance
male,group D,some high school,free/reduced,none,62,49,52,Acceptance
female,group B,some high school,standard,completed,54,61,62,Acceptance
female,group B,master's degree,free/reduced,completed,77,97,94,Excellent
female,group C,some high school,standard,completed,76,87,85,Very good
female,group D,some college,standard,none,74,89,84,Very good
female,group E,some college,standard,completed,66,74,73,Good
female,group D,some high school,standard,completed,66,78,78,Good
female,group B,high school,free/reduced,completed,67,78,79,Good
male,group D,some college,standard,none,71,49,52,Acceptance
female,group C,associate's degree,standard,none,91,86,84,Very good
male,group D,bachelor's degree,standard,none,69,58,57,Not good
male,group C,master's degree,free/reduced,none,54,59,50,Acceptance
male,group C,high school,standard,,53,52,49,Acceptance
male,group E,some college,standard,none,68,60,59,Not good
male,group C,some high school,free/reduced,completed,56,61,60,Acceptance
female,group C,high school,free/reduced,none,36,53,43,Fail
female,group D,bachelor's degree,free/reduced,none,29,41,47,Fail
female,group C,associate's degree,standard,none,62,74,70,Not good
female,group C,associate's degree,standard,completed,68,67,73,Good
female,group C,some high school,standard,none,47,54,53,Acceptance
male,group E,associate's degree,standard,completed,62,61,58,Not good
